GPU: MetaX C500 | torch=2.8.0+metax3.7.1.3
reference: flash_attn.flash_attn_with_kvcache | candidate: build/exp660_candidate_normal.so | control: build/cuda_113889.so | seed: 20260823
[INFO] exact-241 lengths=241 q_head_tags=128 k_head_tags=256 v_head_tags=512
[PASS] case12 exact-001/241 length=1 candidate_error=0.000000e+00 control_error=0.000000e+00 candidate_tol_ratio=0.000 control_tol_ratio=0.000 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-002/241 length=2 candidate_error=1.562500e-02 control_error=1.562500e-02 candidate_tol_ratio=0.322 control_tol_ratio=0.322 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-003/241 length=15 candidate_error=7.812500e-03 control_error=7.812500e-03 candidate_tol_ratio=0.244 control_tol_ratio=0.244 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-004/241 length=16 candidate_error=7.812500e-03 control_error=7.812500e-03 candidate_tol_ratio=0.242 control_tol_ratio=0.242 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-005/241 length=17 candidate_error=7.812500e-03 control_error=7.812500e-03 candidate_tol_ratio=0.244 control_tol_ratio=0.244 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-006/241 length=831 candidate_error=1.953125e-03 control_error=1.953125e-03 candidate_tol_ratio=0.098 control_tol_ratio=0.098 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-007/241 length=832 candidate_error=1.953125e-03 control_error=1.953125e-03 candidate_tol_ratio=0.098 control_tol_ratio=0.098 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-008/241 length=833 candidate_error=1.953125e-03 control_error=1.953125e-03 candidate_tol_ratio=0.096 control_tol_ratio=0.096 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-009/241 length=847 candidate_error=1.953125e-03 control_error=1.953125e-03 candidate_tol_ratio=0.098 control_tol_ratio=0.098 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-010/241 length=848 candidate_error=1.953125e-03 control_error=1.953125e-03 candidate_tol_ratio=0.098 control_tol_ratio=0.098 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-011/241 length=849 candidate_error=1.953125e-03 control_error=1.953125e-03 candidate_tol_ratio=0.098 control_tol_ratio=0.098 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-012/241 length=1663 candidate_error=1.953125e-03 control_error=1.953125e-03 candidate_tol_ratio=0.097 control_tol_ratio=0.097 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-013/241 length=1664 candidate_error=1.953125e-03 control_error=1.953125e-03 candidate_tol_ratio=0.097 control_tol_ratio=0.097 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-014/241 length=1665 candidate_error=1.953125e-03 control_error=1.953125e-03 candidate_tol_ratio=0.096 control_tol_ratio=0.096 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-015/241 length=1679 candidate_error=1.953125e-03 control_error=1.953125e-03 candidate_tol_ratio=0.096 control_tol_ratio=0.096 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-016/241 length=1680 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-017/241 length=1681 candidate_error=1.953125e-03 control_error=1.953125e-03 candidate_tol_ratio=0.096 control_tol_ratio=0.096 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-018/241 length=2495 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-019/241 length=2496 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-020/241 length=2497 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-021/241 length=2511 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-022/241 length=2512 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-023/241 length=2513 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-024/241 length=3327 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-025/241 length=3328 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-026/241 length=3329 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-027/241 length=3343 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-028/241 length=3344 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-029/241 length=3345 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-030/241 length=4159 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-031/241 length=4160 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-032/241 length=4161 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-033/241 length=4175 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-034/241 length=4176 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-035/241 length=4177 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-036/241 length=4991 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-037/241 length=4992 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-038/241 length=4993 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-039/241 length=5007 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-040/241 length=5008 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-041/241 length=5009 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-042/241 length=5823 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-043/241 length=5824 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-044/241 length=5825 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-045/241 length=5839 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-046/241 length=5840 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-047/241 length=5841 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-048/241 length=6655 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-049/241 length=6656 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-050/241 length=6657 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-051/241 length=6671 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-052/241 length=6672 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-053/241 length=6673 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-054/241 length=7487 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-055/241 length=7488 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-056/241 length=7489 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-057/241 length=7503 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-058/241 length=7504 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-059/241 length=7505 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-060/241 length=8319 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-061/241 length=8320 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-062/241 length=8321 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-063/241 length=8335 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-064/241 length=8336 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-065/241 length=8337 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-066/241 length=9151 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-067/241 length=9152 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-068/241 length=9153 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-069/241 length=9167 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-070/241 length=9168 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-071/241 length=9169 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-072/241 length=9983 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-073/241 length=9984 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-074/241 length=9985 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-075/241 length=9999 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-076/241 length=10000 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-077/241 length=10001 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-078/241 length=10815 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-079/241 length=10816 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-080/241 length=10817 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-081/241 length=10831 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-082/241 length=10832 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-083/241 length=10833 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-084/241 length=11647 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-085/241 length=11648 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-086/241 length=11649 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-087/241 length=11663 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-088/241 length=11664 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-089/241 length=11665 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-090/241 length=12479 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-091/241 length=12480 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-092/241 length=12481 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-093/241 length=12495 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-094/241 length=12496 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-095/241 length=12497 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-096/241 length=13311 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-097/241 length=13312 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-098/241 length=13313 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-099/241 length=13327 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.052 control_tol_ratio=0.052 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-100/241 length=13328 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.052 control_tol_ratio=0.052 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-101/241 length=13329 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.052 control_tol_ratio=0.052 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-102/241 length=14143 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-103/241 length=14144 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-104/241 length=14145 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-105/241 length=14159 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
