$ python tools/xpuoj_submit.py --list 20
| #124563 | Accepted | 65.86 | cuda.maca-c500 | 2026-08-23T21:19:20.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
| #124537 | Accepted | 66 | cuda.maca-c500 | 2026-08-23T20:20:11.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
| #124526 | Accepted | 65.64 | cuda.maca-c500 | 2026-08-23T20:00:52.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
| #124493 | Accepted | 66.07 | cuda.maca-c500 | 2026-08-23T19:13:50.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
| #124440 | Accepted | 66.07 | cuda.maca-c500 | 2026-08-23T18:09:49.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
| #124413 | Accepted | 66.07 | cuda.maca-c500 | 2026-08-23T17:45:00.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
| #124393 | Accepted | 66 | cuda.maca-c500 | 2026-08-23T17:29:14.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
| #124328 | WrongAnswer | 59.64 | cuda.maca-c500 | 2026-08-23T16:38:52.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
| #124235 | Accepted | 66.07 | cuda.maca-c500 | 2026-08-23T15:33:11.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
| #124210 | Accepted | 65.93 | cuda.maca-c500 | 2026-08-23T15:13:17.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
Result: no Pending/Running submissions.
