UTC 2026-08-24T18:57:04Z
command: python3 tools/xpuoj_submit.py --list 20
| #125788 | Accepted | 65.57 | cuda.maca-c500 | 2026-08-24T18:43:43.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
| #125776 | Accepted | 66.07 | cuda.maca-c500 | 2026-08-24T18:33:20.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
| #125765 | Accepted | 65.93 | cuda.maca-c500 | 2026-08-24T18:23:25.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
| #125753 | Accepted | 65.43 | cuda.maca-c500 | 2026-08-24T18:10:24.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
| #125658 | Accepted | 66 | cuda.maca-c500 | 2026-08-24T16:30:04.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
| #125636 | Accepted | 66 | cuda.maca-c500 | 2026-08-24T16:11:28.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
| #125625 | Accepted | 66 | cuda.maca-c500 | 2026-08-24T15:57:15.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
| #125585 | Accepted | 65.86 | cuda.maca-c500 | 2026-08-24T15:32:14.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
| #125561 | Accepted | 65.86 | cuda.maca-c500 | 2026-08-24T15:11:40.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
| #125434 | Accepted | 66.14 | cuda.maca-c500 | 2026-08-24T13:11:30.000Z | Agent 推理算子库优化 - FlashAttention KV Cache  |
exit_status=0
